"CODGEO";"LIBGEO";"POP"
"01001";"ABERGEMENT-CLEMENCIAT";450
"01002";"ABERGEMENT-DE-VAREY";165
"01004";"AMBERIEU-EN-BUGEY";9515
"01005";"AMBERIEUX-EN-DOMBES";760
"01006";"AMBLEON";135
"01007";"AMBRONAY";1390
"01008";"AMBUTRIX";370
"01009";"ANDERT-ET-CONDON";205
"01010";"ANGLEFORT";680
"01011";"APREMONT";200
"01012";"ARANC";190
"01013";"ARANDAS";90
"01014";"ARBENT";1255
"01015";"ARBIGNIEU";305
"01016";"ARBIGNY";315
"01017";"ARGIS";445
"01019";"ARMIX";30
"01021";"ARS-SUR-FORMANS";425
"01022";"ARTEMARE";955
"01023";"ASNIERES-SUR-SAONE";90
"01024";"ATTIGNAT";1330
"01025";"BAGE-LA-VILLE";1400
"01026";"BAGE-LE-CHATEL";640
"01027";"BALAN";980
"01028";"BANEINS";205
"01029";"BEAUPONT";460
"01030";"BEAUREGARD";565
"01031";"BELLIGNAT";910
"01032";"BELIGNEUX";1380
"01033";"BELLEGARDE-SUR-VALSERINE";11635
"01034";"BELLEY";7500
"01035";"BELLEYDOUX";170
"01036";"BELMONT-LUTHEZIEU";295
"01037";"BENONCES";250
"01038";"BENY";485
"01039";"BEON";375
"01040";"BEREZIAT";250
"01041";"BETTANT";565
"01042";"BEY";120
"01043";"BEYNOST";2425
"01044";"BILLIAT";220
"01045";"BIRIEUX";80
"01046";"BIZIAT";550
"01047";"BLYES";230
"01049";"BOISSE";1895
"01050";"BOISSEY";125
"01051";"BOLOZON";90
"01052";"BOULIGNEUX";160
"01053";"BOURG-EN-BRESSE";42145
"01054";"BOURG-SAINT-CHRISTOPHE";510
"01056";"BOYEUX-SAINT-JEROME";195
"01057";"BOZ";380
"01058";"BREGNIER-CORDON";425
"01059";"BRENAZ";85
"01060";"BRENOD";335
"01061";"BRENS";425
"01062";"BRESSOLLES";280
"01063";"BRION";300
"01064";"BRIORD";345
"01065";"BUELLAS";775
"01066";"BURBANCHE";30
"01067";"CEIGNES";155
"01068";"CERDON";650
"01069";"CERTINES";425
"01071";"CESSY";700
"01072";"CEYZERIAT";1940
"01073";"CEYZERIEU";725
"01074";"CHALAMONT";1325
"01075";"CHALEINS";395
"01076";"CHALEY";155
"01077";"CHALLES-LA-MONTAGNE";130
"01078";"CHALLEX";670
"01079";"CHAMPAGNE-EN-VALROMEY";740
"01080";"CHAMPDOR";430
"01081";"CHAMPFROMIER";330
"01082";"CHANAY";525
"01083";"CHANEINS";415
"01084";"CHANOZ-CHATENAY";490
"01085";"CHAPELLE-DU-CHATELARD";185
"01087";"CHARIX";210
"01088";"CHARNOZ-SUR-AIN";175
"01089";"CHATEAU-GAILLARD";700
"01090";"CHATENAY";255
"01091";"CHATILLON-EN-MICHAILLE";1780
"01092";"CHATILLON-LA-PALUD";660
"01093";"CHATILLON-SUR-CHALARONNE";3235
"01094";"CHAVANNES-SUR-REYSSOUZE";540
"01095";"CHAVANNES-SUR-SURAN";425
"01096";"CHAVEYRIAT";635
"01097";"CHAVORNAY";70
"01098";"CHAZEY-BONS";875
"01099";"CHAZEY-SUR-AIN";760
"01100";"CHEIGNIEU-LA-BALME";195
"01101";"CHEVILLARD";110
"01102";"CHEVROUX";550
"01103";"CHEVRY";590
"01104";"CHEZERY-FORENS";440
"01105";"CIVRIEUX";580
"01106";"CIZE";180
"01107";"CLEYZIEU";115
"01108";"COLIGNY";1215
"01109";"COLLONGES";1000
"01110";"COLOMIEU";100
"01111";"CONAND";90
"01112";"CONDAMINE";155
"01113";"CONDEISSIAT";505
"01114";"CONFORT";365
"01115";"CONFRANCON";750
"01116";"CONTREVOZ";205
"01117";"CONZIEU";30
"01118";"CORBONOD";835
"01119";"CORCELLES";215
"01121";"CORLIER";65
"01122";"CORMARANCHE-EN-BUGEY";435
"01123";"CORMORANCHE-SUR-SAONE";760
"01124";"CORMOZ";590
"01125";"CORVEISSIAT";300
"01127";"COURMANGOUX";290
"01128";"COURTES";230
"01129";"CRANS";95
"01130";"CRAS-SUR-REYSSOUZE";665
"01133";"CRESSIN-ROCHEFORT";170
"01134";"CROTTET";1040
"01135";"CROZET";700
"01136";"CRUZILLES-LES-MEPILLAT";395
"01138";"CULOZ";2370
"01139";"CURCIAT-DONGALON";605
"01140";"CURTAFOND";495
"01141";"CUZIEU";135
"01142";"DAGNEUX";1830
"01143";"DIVONNE-LES-BAINS";4175
"01144";"DOMMARTIN";635
"01145";"DOMPIERRE-SUR-VEYLE";575
"01146";"DOMPIERRE-SUR-CHALARONNE";150
"01147";"DOMSURE";410
"01148";"DORTAN";1310
"01149";"DOUVRES";350
"01150";"DROM";120
"01151";"DRUILLAT";595
"01152";"ECHALLON";485
"01153";"ECHENEVEX";350
"01154";"ETREZ";500
"01155";"EVOSGES";60
"01156";"FARAMANS";330
"01157";"FAREINS";1080
