"CODGEO";"LIBGEO";"POP"
"01001";"ABERGEMENT-CLEMENCIAT";716
"01002";"ABERGEMENT-DE-VAREY";176
"01004";"AMBERIEU-EN-BUGEY";11412
"01005";"AMBERIEUX-EN-DOMBES";1384
"01006";"AMBLEON";92
"01007";"AMBRONAY";2158
"01008";"AMBUTRIX";596
"01009";"ANDERT-ET-CONDON";264
"01010";"ANGLEFORT";780
"01011";"APREMONT";316
"01012";"ARANC";284
"01013";"ARANDAS";148
"01014";"ARBENT";3564
"01015";"ARBIGNIEU";432
"01016";"ARBIGNY";320
"01017";"ARGIS";380
"01019";"ARMIX";12
"01021";"ARS-SUR-FORMANS";1116
"01022";"ARTEMARE";980
"01023";"ASNIERES-SUR-SAONE";52
"01024";"ATTIGNAT";1924
"01025";"BAGE-LA-VILLE";2300
"01026";"BAGE-LE-CHATEL";768
"01027";"BALAN";1504
"01028";"BANEINS";540
"01029";"BEAUPONT";488
"01030";"BEAUREGARD";844
"01031";"BELLIGNAT";3508
"01032";"BELIGNEUX";2624
"01033";"BELLEGARDE-SUR-VALSERINE";10919
"01034";"BELLEY";7960
"01035";"BELLEYDOUX";288
"01036";"BELMONT-LUTHEZIEU";380
"01037";"BENONCES";260
"01038";"BENY";628
"01039";"BEON";344
"01040";"BEREZIAT";320
"01041";"BETTANT";664
"01042";"BEY";224
"01043";"BEYNOST";3541
"01044";"BILLIAT";396
"01045";"BIRIEUX";124
"01046";"BIZIAT";664
"01047";"BLYES";680
"01049";"BOISSE";2676
"01050";"BOISSEY";188
"01051";"BOLOZON";76
"01052";"BOULIGNEUX";288
"01053";"BOURG-EN-BRESSE";40820
"01054";"BOURG-SAINT-CHRISTOPHE";864
"01056";"BOYEUX-SAINT-JEROME";264
"01057";"BOZ";364
"01058";"BREGNIER-CORDON";536
"01059";"BRENAZ";84
"01060";"BRENOD";392
"01061";"BRENS";744
"01062";"BRESSOLLES";616
"01063";"BRION";532
"01064";"BRIORD";648
"01065";"BUELLAS";1300
"01066";"BURBANCHE";40
"01067";"CEIGNES";228
"01068";"CERDON";648
"01069";"CERTINES";1276
"01071";"CESSY";2340
"01072";"CEYZERIAT";2424
"01073";"CEYZERIEU";780
"01074";"CHALAMONT";1656
"01075";"CHALEINS";1036
"01076";"CHALEY";84
"01077";"CHALLES-LA-MONTAGNE";212
"01078";"CHALLEX";1044
"01079";"CHAMPAGNE-EN-VALROMEY";652
"01080";"CHAMPDOR";428
"01081";"CHAMPFROMIER";580
"01082";"CHANAY";552
"01083";"CHANEINS";564
"01084";"CHANOZ-CHATENAY";512
"01085";"CHAPELLE-DU-CHATELARD";292
"01087";"CHARIX";252
"01088";"CHARNOZ-SUR-AIN";812
"01089";"CHATEAU-GAILLARD";1400
"01090";"CHATENAY";312
"01091";"CHATILLON-EN-MICHAILLE";2648
"01092";"CHATILLON-LA-PALUD";1089
"01093";"CHATILLON-SUR-CHALARONNE";4100
"01094";"CHAVANNES-SUR-REYSSOUZE";616
"01095";"CHAVANNES-SUR-SURAN";504
"01096";"CHAVEYRIAT";784
"01097";"CHAVORNAY";220
"01098";"CHAZEY-BONS";680
"01099";"CHAZEY-SUR-AIN";1172
"01100";"CHEIGNIEU-LA-BALME";100
"01101";"CHEVILLARD";104
"01102";"CHEVROUX";652
"01103";"CHEVRY";836
"01104";"CHEZERY-FORENS";352
"01105";"CIVRIEUX";1092
"01106";"CIZE";120
"01107";"CLEYZIEU";108
"01108";"COLIGNY";1096
"01109";"COLLONGES";1140
"01110";"COLOMIEU";124
"01111";"CONAND";92
"01112";"CONDAMINE";292
"01113";"CONDEISSIAT";648
"01114";"CONFORT";500
"01115";"CONFRANCON";832
"01116";"CONTREVOZ";440
"01117";"CONZIEU";76
"01118";"CORBONOD";920
"01119";"CORCELLES";216
"01121";"CORLIER";92
"01122";"CORMARANCHE-EN-BUGEY";700
"01123";"CORMORANCHE-SUR-SAONE";888
"01124";"CORMOZ";508
"01125";"CORVEISSIAT";484
"01127";"COURMANGOUX";384
"01128";"COURTES";220
"01129";"CRANS";272
"01130";"CRAS-SUR-REYSSOUZE";916
"01133";"CRESSIN-ROCHEFORT";320
"01134";"CROTTET";1517
"01135";"CROZET";1312
"01136";"CRUZILLES-LES-MEPILLAT";628
"01138";"CULOZ";2612
"01139";"CURCIAT-DONGALON";388
"01140";"CURTAFOND";596
"01141";"CUZIEU";296
"01142";"DAGNEUX";3772
"01143";"DIVONNE-LES-BAINS";6169
"01144";"DOMMARTIN";608
"01145";"DOMPIERRE-SUR-VEYLE";956
"01146";"DOMPIERRE-SUR-CHALARONNE";288
"01147";"DOMSURE";408
"01148";"DORTAN";2200
"01149";"DOUVRES";640
"01150";"DROM";132
"01151";"DRUILLAT";912
"01152";"ECHALLON";692
"01153";"ECHENEVEX";1228
"01154";"ETREZ";652
"01155";"EVOSGES";96
"01156";"FARAMANS";580
"01157";"FAREINS";1696
"01158";"FARGES";608
"01159";"FEILLENS";2952
"01160";"FERNEY-VOLTAIRE";7115
"01162";"FLAXIEU";48
"01163";"FOISSIAT";1552
"01165";"FRANCHELEINS";968
"01166";"FRANS";1832
"01167";"GARNERANS";548
"01169";"GENOUILLEUX";412
"01170";"BEARD-GEOVREISSIAT";732
"01171";"GEOVREISSET";769
"01172";"GERMAGNAT";80
"01173";"GEX";7911
"01174";"GIRON";100
"01175";"GORREVOD";564
"01176";"GRAND-ABERGEMENT";112
"01177";"GRAND-CORENT";112
"01179";"GRIEGES";1584
"01180";"GRILLY";632
"01181";"GROISSIAT";780
"01182";"GROSLEE";332
"01183";"GUEREINS";1060
"01184";"HAUTECOURT-ROMANECHE";692
"01185";"HAUTEVILLE-LOMPNES";3664
"01186";"HOSTIAZ";52
"01187";"HOTONNES";292
"01188";"ILLIAT";444
"01189";"INJOUX-GENISSIAT";948
"01190";"INNIMOND";100
"01191";"IZENAVE";140
"01192";"IZERNORE";1624
"01193";"IZIEU";152
"01194";"JASSANS-RIOTTIER";5320
"01195";"JASSERON";1256
"01196";"JAYAT";724
"01197";"JOURNANS";328
"01198";"JOYEUX";224
"01199";"JUJURIEUX";1665
"01200";"LABALME";120
"01202";"LAGNIEU";5888
"01203";"LAIZ";996
"01204";"LALLEYRIAT";180
"01205";"LANCRANS";920
"01206";"LANTENAY";268
"01207";"LAPEYROUSE";224
"01208";"LAVOURS";120
"01209";"LEAZ";468
"01210";"LELEX";236
"01211";"LENT";1148
"01212";"LESCHEROUX";616
"01213";"LEYMENT";908
"01214";"LEYSSARD";148
"01215";"LHOPITAL";64
"01216";"LHUIS";784
"01218";"LOCHIEU";88
"01219";"LOMPNAS";128
"01221";"LOMPNIEU";100
"01224";"LOYETTES";2320
"01225";"LURCY";268
"01227";"MAGNIEU";300
"01228";"MAILLAT";684
"01229";"MALAFRETAZ";668
"01230";"MANTENAY-MONTLIN";240
"01231";"MANZIAT";1544
"01232";"MARBOZ";2185
"01233";"MARCHAMP";108
"01234";"MARIGNIEU";124
"01235";"MARLIEUX";700
"01236";"MARSONNAS";728
"01237";"MARTIGNAT";1220
"01238";"MASSIEUX";2096
"01239";"MASSIGNIEU-DE-RIVES";516
"01240";"MATAFELON-GRANGES";484
"01241";"MEILLONNAS";1208
"01242";"MERIGNAT";104
"01243";"MESSIMY-SUR-SAONE";912
"01244";"MEXIMIEUX";6817
"01245";"BOHAS-MEYRIAT-RIGNAT";788
"01246";"MEZERIAT";1924
"01247";"MIJOUX";312
"01248";"MIONNAY";2096
"01249";"MIRIBEL";8560
"01250";"MISERIEUX";1400
"01252";"MOGNENEINS";612
"01254";"MONTAGNAT";1424
"01255";"MONTAGNIEU";372
"01257";"MONTANGES";256
"01258";"MONTCEAUX";912
"01259";"MONTCET";492
"01260";"MONTELLIER";216
"01261";"MONTHIEUX";572
"01262";"MONTLUEL";6400
"01263";"MONTMERLE-SUR-SAONE";2811
"01264";"MONTRACOL";616
"01265";"MONTREAL-LA-CLUSE";3696
"01266";"MONTREVEL-EN-BRESSE";1992
"01267";"NURIEUX-VOLOGNAT";940
"01268";"MURS-ET-GELIGNIEUX";208
"01269";"NANTUA";3920
"01271";"NATTAGES";416
"01272";"NEUVILLE-LES-DAMES";1208
"01273";"NEUVILLE-SUR-AIN";1224
"01274";"NEYROLLES";616
"01275";"NEYRON";2132
"01276";"NIEVROZ";1364
"01277";"NIVOLLET-MONTGRIFFON";84
"01279";"ONCIEU";80
"01280";"ORDONNAZ";124
"01281";"ORNEX";2676
"01282";"OUTRIAZ";284
"01283";"OYONNAX";24148
"01284";"OZAN";456
"01285";"PARCIEUX";888
"01286";"PARVES";316
"01288";"PERON";1584
"01289";"PERONNAS";5532
"01290";"PEROUGES";1088
"01291";"PERREX";716
"01292";"PETIT-ABERGEMENT";128
"01293";"PEYRIAT";152
"01294";"PEYRIEU";632
"01295";"PEYZIEUX-SUR-SAONE";360
"01296";"PIRAJOUX";312
"01297";"PIZAY";644
"01298";"PLAGNE";76
"01299";"PLANTAY";440
"01300";"POIZAT";300
"01301";"POLLIAT";2040
"01302";"POLLIEU";108
"01303";"PONCIN";1376
"01304";"PONT-D'AIN";2260
"01305";"PONT-DE-VAUX";1989
"01306";"PONT-DE-VEYLE";1484
"01307";"PORT";884
"01308";"POUGNY";660
"01309";"POUILLAT";64
"01310";"PREMEYZEL";244
"01311";"PREMILLIEU";36
"01312";"PRESSIAT";240
"01313";"PREVESSIN-MOENS";4228
"01314";"PRIAY";1144
"01316";"PUGIEU";128
"01317";"RAMASSE";220
"01318";"RANCE";508
"01319";"RELEVANT";380
"01320";"REPLONGES";2856
"01321";"REVONNAS";484
"01322";"REYRIEUX";3684
"01323";"REYSSOUZE";704
"01325";"RIGNIEUX-LE-FRANC";864
"01328";"ROMANS";528
"01329";"ROSSILLON";172
"01330";"RUFFIEU";176
"01331";"SAINT-ALBAN";112
"01332";"SAINT-ANDRE-DE-BAGE";476
