CODGEO;LIBGEO;POP
01001;L'Abergement-Clémenciat;804
01002;L'Abergement-de-Varey;195
01004;Ambérieu-en-Bugey;12696
01005;Ambérieux-en-Dombes;1544
01006;Ambléon;125
01007;Ambronay;2263
01008;Ambutrix;649
01009;Andert-et-Condon;325
01010;Anglefort;918
01011;Apremont;333
01012;Aranc;286
01013;Arandas;158
01014;Arbent;3443
01015;Arbignieu;469
01016;Arbigny;352
01017;Argis;421
01019;Armix;25
01021;Ars-sur-Formans;1264
01022;Artemare;1081
01023;Asnières-sur-Saône;86
01024;Attignat;2567
01025;Bâgé-la-Ville;2756
01026;Bâgé-le-Châtel;798
01027;Balan;2347
01028;Baneins;606
01029;Beaupont;560
01030;Beauregard;894
01031;Bellignat;3472
01032;Béligneux;2851
01033;Bellegarde-sur-Valserine;11367
01034;Belley;8665
01035;Belleydoux;287
01036;Belmont-Luthézieu;478
01037;Bénonces;271
01038;Bény;729
01039;Béon;355
01040;Béréziat;359
01041;Bettant;711
01042;Bey;241
01043;Beynost;4240
01044;Billiat;444
01045;Birieux;221
01046;Biziat;765
01047;Blyes;927
01049;La Boisse;2804
01050;Boissey;225
01051;Bolozon;100
01052;Bouligneux;304
01053;Bourg-en-Bresse;40506
01054;Bourg-Saint-Christophe;1065
01056;Boyeux-Saint-Jérôme;309
01057;Boz;491
01058;Brégnier-Cordon;699
01059;Brénaz;93
01060;Brénod;523
01061;Brens;920
01062;Bressolles;703
01063;Brion;511
01064;Briord;838
01065;Buellas;1633
01066;La Burbanche;65
01067;Ceignes;277
01068;Cerdon;779
01069;Certines;1432
01071;Cessy;3368
01072;Ceyzériat;2594
01073;Ceyzérieu;885
01074;Chalamont;2093
01075;Chaleins;1191
01076;Chaley;120
01077;Challes-la-Montagne;187
01078;Challex;1073
01079;Champagne-en-Valromey;716
01080;Champdor;440
01081;Champfromier;630
01082;Chanay;602
01083;Chaneins;842
01084;Chanoz-Châtenay;652
01085;La Chapelle-du-Châtelard;310
01087;Charix;292
01088;Charnoz-sur-Ain;901
01089;Château-Gaillard;1704
01090;Châtenay;336
01091;Châtillon-en-Michaille;2993
01092;Châtillon-la-Palud;1446
01093;Châtillon-sur-Chalaronne;4904
01094;Chavannes-sur-Reyssouze;658
01095;Chavannes-sur-Suran;639
01096;Chaveyriat;896
01097;Chavornay;177
01098;Chazey-Bons;710
01099;Chazey-sur-Ain;1348
01100;Cheignieu-la-Balme;144
01101;Chevillard;181
01102;Chevroux;847
01103;Chevry;1151
01104;Chézery-Forens;404
01105;Civrieux;1341
01106;Cize;150
01107;Cleyzieu;135
01108;Coligny;1147
01109;Collonges;1421
01110;Colomieu;117
01111;Conand;104
01112;Condamine;380
01113;Condeissiat;741
01114;Confort;515
01115;Confrançon;1059
01116;Contrevoz;483
01117;Conzieu;111
01118;Corbonod;1105
01119;Corcelles;211
01121;Corlier;114
01122;Cormaranche-en-Bugey;846
01123;Cormoranche-sur-Saône;1022
01124;Cormoz;508
01125;Corveissiat;530
01127;Courmangoux;476
01128;Courtes;244
01129;Crans;275
01130;Cras-sur-Reyssouze;1116
01133;Cressin-Rochefort;355
01134;Crottet;1676
01135;Crozet;1720
01136;Cruzilles-lès-Mépillat;781
01138;Culoz;2957
01139;Curciat-Dongalon;423
01140;Curtafond;672
01141;Cuzieu;385
01142;Dagneux;3890
01143;Divonne-les-Bains;7572
01144;Dommartin;778
01145;Dompierre-sur-Veyle;1173
01146;Dompierre-sur-Chalaronne;362
01147;Domsure;468
01148;Dortan;2088
01149;Douvres;920
01150;Drom;179
01151;Druillat;1123
01152;Échallon;765
01153;Échenevex;1500
01154;Étrez;770
01155;Évosges;125
01156;Faramans;641
01157;Fareins;1948
01158;Farges;825
01159;Feillens;3110
01160;Ferney-Voltaire;7741
01162;Flaxieu;55
01163;Foissiat;1828
01165;Francheleins;1165
01166;Frans;1972
01167;Garnerans;632
01169;Genouilleux;561
01170;Béard-Géovreissiat;887
01171;Géovreisset;888
01172;Germagnat;140
01173;Gex;9505
01174;Giron;139
01175;Gorrevod;692
01176;Le Grand-Abergement;104
01177;Grand-Corent;135
01179;Grièges;1751
01180;Grilly;677
01181;Groissiat;1098
01182;Groslée;350
01183;Guéreins;1237
01184;Hautecourt-Romanèche;735
01185;Hauteville-Lompnes;4114
01186;Hostiaz;78
01187;Hotonnes;300
01188;Illiat;533
01189;Injoux-Génissiat;975
01190;Innimond;110
01191;Izenave;152
01192;Izernore;2230
01193;Izieu;190
01194;Jassans-Riottier;5903
01195;Jasseron;1394
01196;Jayat;993
01197;Journans;322
01198;Joyeux;230
01199;Jujurieux;1986
01200;Labalme;156
01202;Lagnieu;6697
01203;Laiz;1085
01204;Lalleyriat;224
01205;Lancrans;1015
01206;Lantenay;256
01207;Lapeyrouse;295
01208;Lavours;121
01209;Léaz;511
01210;Lélex;225
01211;Lent;1253
01212;Lescheroux;691
01213;Leyment;1223
01214;Leyssard;164
01215;Lhôpital;57
01216;Lhuis;809
01218;Lochieu;88
01219;Lompnas;165
01221;Lompnieu;103
01224;Loyettes;2439
01225;Lurcy;388
01227;Magnieu;417
01228;Maillat;650
01229;Malafretaz;864
01230;Mantenay-Montlin;281
01231;Manziat;1860
01232;Marboz;2176
01233;Marchamp;112
01234;Marignieu;160
01235;Marlieux;758
01236;Marsonnas;889
01237;Martignat;1564
01238;Massieux;2367
01239;Massignieu-de-Rives;567
01240;Matafelon-Granges;647
01241;Meillonnas;1295
01242;Mérignat;134
01243;Messimy-sur-Saône;1131
01244;Meximieux;7383
01245;Bohas-Meyriat-Rignat;805
01246;Mézériat;2018
01247;Mijoux;384
01248;Mionnay;2132
01249;Miribel;8963
01250;Misérieux;1700
01252;Mogneneins;671
01254;Montagnat;1569
01255;Montagnieu;472
01257;Montanges;331
01258;Montceaux;1054
01259;Montcet;662
01260;Le Montellier;213
01261;Monthieux;593
01262;Montluel;6635
01263;Montmerle-sur-Saône;3795
01264;Montracol;892
01265;Montréal-la-Cluse;3521
01266;Montrevel-en-Bresse;2311
01267;Nurieux-Volognat;1094
01268;Murs-et-Gélignieux;239
01269;Nantua;3663
01271;Nattages;538
01272;Neuville-les-Dames;1538
01273;Neuville-sur-Ain;1483
01274;Les Neyrolles;663
01275;Neyron;2295
01276;Niévroz;1499
01277;Nivollet-Montgriffon;133
01279;Oncieu;91
01280;Ordonnaz;133
01281;Ornex;3108
01282;Outriaz;275
01283;Oyonnax;23490
01284;Ozan;509
01285;Parcieux;1033
01286;Parves;332
01288;Péron;1905
01289;Péronnas;6147
01290;Pérouges;1191
01291;Perrex;830
01292;Le Petit-Abergement;141
01293;Peyriat;166
01294;Peyrieu;777
01295;Peyzieux-sur-Saône;353
01296;Pirajoux;312
01297;Pizay;750
01298;Plagne;94
