CODGEO;LIBGEO;POP
01001;L'Abergement-Clémenciat;767
01002;L'Abergement-de-Varey;239
01004;Ambérieu-en-Bugey;14022
01005;Ambérieux-en-Dombes;1627
01006;Ambléon;109
01007;Ambronay;2570
01008;Ambutrix;743
01009;Andert-et-Condon;338
01010;Anglefort;1142
01011;Apremont;397
01012;Aranc;325
01013;Arandas;157
01014;Arbent;3405
01015;Arboys en Bugey;638
01016;Arbigny;440
01017;Argis;427
01019;Armix;23
01021;Ars-sur-Formans;1376
01022;Artemare;1193
01023;Asnières-sur-Saône;66
01024;Attignat;3386
01025;Bâgé-la-Ville;3177
01026;Bâgé-le-Châtel;881
01027;Balan;2973
01028;Baneins;585
01029;Beaupont;678
01030;Beauregard;886
01031;Bellignat;3656
01032;Béligneux;3296
01033;Bellegarde-sur-Valserine;11745
01034;Belley;8983
01035;Belleydoux;321
01036;Belmont-Luthézieu;549
01037;Bénonces;282
01038;Bény;731
01039;Béon;467
01040;Béréziat;477
01041;Bettant;749
01042;Bey;265
01043;Beynost;4541
01044;Billiat;595
01045;Birieux;285
01046;Biziat;818
01047;Blyes;972
01049;La Boisse;2932
01050;Boissey;323
01051;Bolozon;88
01052;Bouligneux;300
01053;Bourg-en-Bresse;40967
01054;Bourg-Saint-Christophe;1270
01056;Boyeux-Saint-Jérôme;370
01057;Boz;512
01058;Brégnier-Cordon;861
01059;Brénaz;96
01060;Brénod;549
01061;Brens;1186
01062;Bressolles;826
01063;Brion;514
01064;Briord;973
01065;Buellas;1754
01066;La Burbanche;71
01067;Ceignes;263
01068;Cerdon;764
01069;Certines;1466
01071;Cessy;4797
01072;Ceyzériat;3068
01073;Ceyzérieu;1007
01074;Chalamont;2408
01075;Chaleins;1234
01076;Chaley;151
01077;Challes-la-Montagne;185
01078;Challex;1377
01079;Champagne-en-Valromey;821
01080;Champdor-Corcelles;669
01081;Champfromier;730
01082;Chanay;648
01083;Chaneins;864
01084;Chanoz-Châtenay;780
01085;La Chapelle-du-Châtelard;379
01087;Charix;284
01088;Charnoz-sur-Ain;931
01089;Château-Gaillard;1999
01090;Châtenay;332
01091;Châtillon-en-Michaille;3311
01092;Châtillon-la-Palud;1568
01093;Châtillon-sur-Chalaronne;4956
01094;Chavannes-sur-Reyssouze;746
01095;Chavannes-sur-Suran;648
01096;Chaveyriat;993
01097;Chavornay;219
01098;Chazey-Bons;850
01099;Chazey-sur-Ain;1530
01100;Cheignieu-la-Balme;139
01101;Chevillard;157
01102;Chevroux;957
01103;Chevry;1459
01104;Chézery-Forens;461
01105;Civrieux;1489
01106;Cize;173
01107;Cleyzieu;136
01108;Coligny;1198
01109;Collonges;2163
01110;Colomieu;130
01111;Conand;118
01112;Condamine;416
01113;Condeissiat;828
01114;Confort;563
01115;Confrançon;1326
01116;Contrevoz;508
01117;Conzieu;147
01118;Corbonod;1236
01121;Corlier;113
01122;Cormaranche-en-Bugey;805
01123;Cormoranche-sur-Saône;1089
01124;Cormoz;665
01125;Corveissiat;619
01127;Courmangoux;508
01128;Courtes;291
01129;Crans;266
01130;Cras-sur-Reyssouze;1414
01133;Cressin-Rochefort;384
01134;Crottet;1719
01135;Crozet;2086
01136;Cruzilles-lès-Mépillat;832
01138;Culoz;3029
01139;Curciat-Dongalon;451
01140;Curtafond;771
01141;Cuzieu;415
01142;Dagneux;4441
01143;Divonne-les-Bains;9100
01144;Dommartin;888
01145;Dompierre-sur-Veyle;1166
01146;Dompierre-sur-Chalaronne;416
01147;Domsure;476
01148;Dortan;1845
01149;Douvres;1036
01150;Drom;222
01151;Druillat;1150
01152;Échallon;764
01153;Échenevex;2158
01154;Étrez;820
01155;Évosges;144
01156;Faramans;781
01157;Fareins;2180
01158;Farges;972
01159;Feillens;3225
01160;Ferney-Voltaire;9337
01162;Flaxieu;65
01163;Foissiat;2029
01165;Francheleins;1515
01166;Frans;2196
01167;Garnerans;660
01169;Genouilleux;583
01170;Béard-Géovreissiat;1011
01171;Géovreisset;917
01172;Germagnat;147
01173;Gex;11141
01174;Giron;175
01175;Gorrevod;842
01177;Grand-Corent;177
01179;Grièges;1908
01180;Grilly;786
01181;Groissiat;1187
01183;Guéreins;1423
01184;Hautecourt-Romanèche;793
01185;Hauteville-Lompnes;3829
01186;Hostiaz;87
01187;Haut Valromey;701
01188;Illiat;601
01189;Injoux-Génissiat;1144
01190;Innimond;115
01191;Izenave;173
01192;Izernore;2294
01193;Izieu;231
01194;Jassans-Riottier;6222
01195;Jasseron;1709
01196;Jayat;1124
01197;Journans;356
01198;Joyeux;276
01199;Jujurieux;2192
01200;Labalme;210
01202;Lagnieu;6953
01203;Laiz;1191
01204;Le Poizat-Lalleyriat;699
01205;Lancrans;1028
01206;Lantenay;262
01207;Lapeyrouse;341
01208;Lavours;137
01209;Léaz;687
01210;Lélex;238
01211;Lent;1426
01212;Lescheroux;708
01213;Leyment;1248
01214;Leyssard;152
01215;Lhôpital;49
01216;Lhuis;884
01218;Lochieu;96
01219;Lompnas;166
01221;Lompnieu;115
01224;Loyettes;3158
01225;Lurcy;395
01227;Magnieu;458
01228;Maillat;639
01229;Malafretaz;1149
01230;Mantenay-Montlin;306
01231;Manziat;1976
01232;Marboz;2205
01233;Marchamp;130
01234;Marignieu;172
01235;Marlieux;1032
01236;Marsonnas;987
01237;Martignat;1573
01238;Massieux;2482
01239;Massignieu-de-Rives;635
01240;Matafelon-Granges;649
01241;Meillonnas;1310
01242;Mérignat;124
01243;Messimy-sur-Saône;1224
01244;Meximieux;7539
01245;Bohas-Meyriat-Rignat;884
01246;Mézériat;2137
01247;Mijoux;348
01248;Mionnay;2130
01249;Miribel;9425
01250;Misérieux;1877
01252;Mogneneins;779
01254;Montagnat;1893
01255;Montagnieu;584
01257;Montanges;343
01258;Montceaux;1211
01259;Montcet;663
01260;Le Montellier;272
01261;Monthieux;655
01262;Montluel;7036
01263;Montmerle-sur-Saône;3811
01264;Montracol;1013
01265;Montréal-la-Cluse;3409
01266;Montrevel-en-Bresse;2452
01267;Nurieux-Volognat;1027
01268;Murs-et-Gélignieux;253
01269;Nantua;3534
01272;Neuville-les-Dames;1494
01273;Neuville-sur-Ain;1645
01274;Les Neyrolles;638
01275;Neyron;2467
01276;Niévroz;1529
01277;Nivollet-Montgriffon;119
01279;Oncieu;96
01280;Ordonnaz;157
01281;Ornex;4303
01282;Outriaz;258
01283;Oyonnax;22485
01284;Ozan;659
01285;Parcieux;1153
01286;Parves et Nattages;936
01288;Péron;2489
01289;Péronnas;6196
01290;Pérouges;1206
01291;Perrex;796
01293;Peyriat;178
01294;Peyrieu;838
01295;Peyzieux-sur-Saône;640
01296;Pirajoux;396
01297;Pizay;749
01298;Plagne;123
01299;Le Plantay;530
01301;Polliat;2489
01302;Pollieu;158
01303;Poncin;1681
01304;Pont-d'Ain;2801
01305;Pont-de-Vaux;2290
01306;Pont-de-Veyle;1595
01307;Port;846
01308;Pougny;818
01309;Pouillat;93
01310;Prémeyzel;229
01311;Prémillieu;46
01313;Prévessin-Moëns;7710
01314;Priay;1666
01316;Pugieu;160
01317;Ramasse;305
01318;Rancé;703
01319;Relevant;467
01320;Replonges;3662
01321;Revonnas;920
01322;Reyrieux;4490
01323;Reyssouze;965
01325;Rignieux-le-Franc;968
01328;Romans;600
01329;Rossillon;146
01330;Ruffieu;187
01331;Saint-Alban;171
01332;Saint-André-de-Bâgé;726
01333;Saint-André-de-Corcy;3016
