"cod2013";"cod2012";"annee";"typemodif";"ratio"
"05139";"05002";"2013-01-01";"d";0.265486725663717
"05132";"05020";"2013-01-01";"d";0.135135135135135
"05139";"05042";"2013-01-01";"d";0.0521140609636185
"05132";"05067";"2013-01-01";"d";0.014014014014014
"05132";"05132";"2013-01-01";"d";0.850850850850851
"05139";"05138";"2013-01-01";"d";0.133726647000983
"05139";"05139";"2013-01-01";"d";0.548672566371681
"49018";"49018";"2013-01-01";"d";0.592562781712814
"49092";"49092";"2013-01-01";"d";0.813802686428902
"49101";"49101";"2013-01-01";"d";0.757739938080495
"49092";"49199";"2013-01-01";"d";0.186197313571098
"49018";"49213";"2013-01-01";"d";0.0344494526722473
"49018";"49245";"2013-01-01";"d";0.0413715389568577
"49018";"49303";"2013-01-01";"d";0.127817128139086
"49018";"49372";"2013-01-01";"d";0.203799098518995
"49101";"49380";"2013-01-01";"d";0.242260061919505
"69248";"69025";"2013-01-01";"d";0.412596199151877
"69248";"69041";"2013-01-01";"d";0.0332966860373802
"69248";"69128";"2013-01-01";"d";0.081356997015863
"69248";"69129";"2013-01-01";"d";0.0969059211559604
"69208";"69144";"2013-01-01";"d";0.323661830915458
"69208";"69208";"2013-01-01";"d";0.676338169084542
"69248";"69248";"2013-01-01";"d";0.375844196638919
"79030";"79030";"2013-01-01";"d";0.442931937172775
"79242";"79242";"2013-01-01";"d";0.480446927374302
"79030";"79353";"2013-01-01";"d";0.557068062827225
"79242";"79356";"2013-01-01";"d";0.519553072625698
"88176";"88176";"2013-01-01";"d";0.939668174962293
"88176";"88282";"2013-01-01";"d";0.0603318250377074
