"cod2016";"cod2017";"annee";"typemodif";"ratio"
"76676";"76601";"2017-01-01";"d";0.323607427055703
"76676";"76676";"2017-01-01";"d";0.676392572944297
"01095";"01095";"2017-01-01";"f";1
"01172";"01095";"2017-01-01";"f";1
"01098";"01098";"2017-01-01";"f";1
"01316";"01098";"2017-01-01";"f";1
"03168";"03168";"2017-01-01";"f";1
"03318";"03168";"2017-01-01";"f";1
"04033";"04033";"2017-01-01";"f";1
"04198";"04033";"2017-01-01";"f";1
"05101";"05101";"2017-01-01";"f";1
"05175";"05101";"2017-01-01";"f";1
"08053";"08053";"2017-01-01";"f";1
"08371";"08053";"2017-01-01";"f";1
"08475";"08053";"2017-01-01";"f";1
"08443";"08490";"2016-06-01";"f";1
"08490";"08490";"2016-06-01";"f";1
"08493";"08490";"2016-06-01";"f";1
"08072";"08491";"2017-01-01";"f";1
"08491";"08491";"2017-01-01";"f";1
"09062";"09062";"2017-01-01";"f";1
"09317";"09062";"2017-01-01";"f";1
"12020";"12090";"2017-01-01";"f";1
"12090";"12090";"2017-01-01";"f";1
"14005";"14005";"2017-01-01";"f";1
"14074";"14005";"2017-01-01";"f";1
"14176";"14005";"2017-01-01";"f";1
"14268";"14005";"2017-01-01";"f";1
"14517";"14005";"2017-01-01";"f";1
"14011";"14011";"2017-01-01";"f";1
"14376";"14011";"2017-01-01";"f";1
"14581";"14011";"2017-01-01";"f";1
"14695";"14011";"2017-01-01";"f";1
"14027";"14027";"2017-01-01";"f";1
"14056";"14027";"2017-01-01";"f";1
"14128";"14027";"2017-01-01";"f";1
"14219";"14027";"2017-01-01";"f";1
"14477";"14027";"2017-01-01";"f";1
"14508";"14027";"2017-01-01";"f";1
"14544";"14027";"2017-01-01";"f";1
"14098";"14098";"2017-01-01";"f";1
"14109";"14098";"2017-01-01";"f";1
"14157";"14098";"2017-01-01";"f";1
"14423";"14098";"2017-01-01";"f";1
"14525";"14098";"2017-01-01";"f";1
"14568";"14098";"2017-01-01";"f";1
"14143";"14143";"2017-01-01";"f";1
"14372";"14143";"2017-01-01";"f";1
"14722";"14143";"2017-01-01";"f";1
"14200";"14200";"2017-01-01";"f";1
"14577";"14200";"2017-01-01";"f";1
"14757";"14200";"2017-01-01";"f";1
"14004";"14281";"2017-01-01";"f";1
"14235";"14281";"2017-01-01";"f";1
"14281";"14281";"2017-01-01";"f";1
"14382";"14281";"2017-01-01";"f";1
"14142";"14342";"2017-01-01";"f";1
"14342";"14342";"2017-01-01";"f";1
"14462";"14342";"2017-01-01";"f";1
"14481";"14342";"2017-01-01";"f";1
"14763";"14342";"2017-01-01";"f";1
