DEP	AR	CT	COM	LEG	JO	EFF	DTR	MOD	C_LOFF	C_LANC	NBCOM	RANGCOM	COMECH	POPECH	SUECH	DEPANC	ARRANC	CTANC	TNCCOFF	NCCOFF	TNCCANC	NCCANC
01			003	A16-07-1973	19-08-1973	01-01-1974	01-01-1974	330					01165						1	Amareins		
01			003	A07-12-1982		01-01-1983	01-01-1983	350					01165						1	Amareins		
01	1	01	004	D25-03-1955	30-03-1955	31-03-1955	31-03-1955	100											1	Ambérieu-en-Bugey	1	Ambérieu
01	4	15	014	D17-12-1996	24-12-1996	01-01-1997	01-01-1997	610					01283	0	0				1	Arbent		
01	4	15	014	D17-12-1996	24-12-1996	01-01-1997	01-01-1997	630					01283	0	0				1	Arbent		
01		04	015	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	331					01015						1	Arbignieu		
01	1	04	015	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	341			2	1	01015						1	Arboys en Bugey		
01	1	04	015	A29-09-2015	24-12-2015	01-01-2016	01-01-2016	341			2	2	01340						1	Arboys en Bugey		
01			018	A09-12-1970	29-12-1970	01-01-1971	01-01-1971	310					01033						1	Arlod		
01			020	A11-05-1964	03-06-1964	04-06-1964	04-06-1964	310					01125						1	Arnans		
01	2	22	021	D12-10-1956	18-10-1956	19-10-1956	19-10-1956	100											1	Ars-sur-Formans	1	Ars
01	2	02	024	D09-09-1996	14-09-1996	15-09-1996	15-09-1996	630					01451	0	1				1	Attignat		
01	4	14	031	D14-08-1957	21-08-1957	22-08-1957	22-08-1957	100											0	Bellignat	0	Bélignat
01	4	03	033	D12-10-1956	18-10-1956	19-10-1956	19-10-1956	100											0	Bellegarde-sur-Valserine	0	Bellegarde
01	4	03	033	D21-03-1966	22-03-1966	23-03-1966	23-03-1966	320			1	1	01126						0	Bellegarde-sur-Valserine		
01	4	03	033	A09-12-1970	29-12-1970	01-01-1971	01-01-1971	320			1	1	01018						0	Bellegarde-sur-Valserine		
01	1	10	036	D17-10-1974	27-10-1974	01-11-1974	01-11-1974	110											0	Belmont-Luthézieu	0	Belmont
01	1	10	036	D17-10-1974	27-10-1974	01-11-1974	01-11-1974	340			1	1	01226						0	Belmont-Luthézieu		
01	1	10	036	A03-11-1997		01-12-1997	01-12-1997	360					01226						0	Belmont-Luthézieu		
01			048	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	330					01245						0	Bohas		
01			048	A23-12-1999		01-01-2000	01-01-2000	350					01245						0	Bohas		
01	2	99	053	D25-03-1955	30-03-1955	31-03-1955	31-03-1955	100											0	Bourg-en-Bresse	0	Bourg
01	1	12	054	A21-12-2016		01-01-2017	01-01-2017	420									012		0	Bourg-Saint-Christophe		
01			055	A29-12-1972	16-02-1973	01-01-1973	01-01-1973	310					01283						0	Bouvent		
01	1	04	058	D22-11-2007	24-11-2007	25-11-2007	25-11-2007	610					38022	0	41				0	Brégnier-Cordon		
01	1	04	058	D22-11-2007	24-11-2007	25-11-2007	25-11-2007	630					38022	0	36				0	Brégnier-Cordon		
01	2	07	069	A21-01-2013		01-02-2013	01-02-2013	610					01422	0	0				0	Certines		
01	2	07	069	A21-01-2013		01-02-2013	01-02-2013	630					01422	0	0				0	Certines		
01			070	A16-07-1973	19-08-1973	01-01-1974	01-01-1974	330					01165						0	Cesseins		
01			070	A08-07-1996		01-08-1996	01-08-1996	350					01165						0	Cesseins		
01	4	16	077	D07-07-2006	08-07-2006	09-07-2006	09-07-2006	100											0	Challes-la-Montagne	0	Challes
01	1	10	079	D12-10-1956	18-10-1956	19-10-1956	19-10-1956	100											0	Champagne-en-Valromey	0	Champagne
01	1	10	079	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	340			2	2	01287						0	Champagne-en-Valromey		
01	1	10	079	A22-12-1972	28-01-1973	01-01-1973	01-01-1973	340			2	1	01217						0	Champagne-en-Valromey		
01	1	10	079	A23-12-1996		01-01-1997	01-01-1997	360					01217						0	Champagne-en-Valromey		
01	1	10	079	A23-12-1996		01-01-1997	01-01-1997	360					01287						0	Champagne-en-Valromey		
01		10	080	A27-11-2015	26-12-2015	01-01-2016	01-01-2016	331					01080						0	Champdor		
01	4	10	080	A27-11-2015	26-12-2015	01-01-2016	01-01-2016	341			2	1	01080						0	Champdor-Corcelles		
01	4	10	080	A27-11-2015	26-12-2015	01-01-2016	01-01-2016	341			2	2	01119						0	Champdor-Corcelles		
01	1	10	080	A21-12-2016		01-01-2017	01-01-2017	420									014		0	Champdor-Corcelles		
01	4	03	082	A21-12-2016		01-01-2017	01-01-2017	420									011		0	Chanay		
01			086	A28-12-1973	06-02-1974	01-01-1974	01-01-1974	330					01414						0	Charancin		
01			086	A11-01-1994		01-02-1994	01-02-1994	350					01414						0	Charancin		
