CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE1990;ZE2010;UU1999;AU1999;EU1999;TAU1999;TUU1999;TDUU1999;BV;EPCI;NATURE_EPCI;ZAUER1999
01001;L'Abergement-Clémenciat;82;01;012;0110;8203;8213;01000;999;1C;00;0;05;01093;240100644;CC;3
01002;L'Abergement-de-Varey;82;01;011;0101;8210;8201;01000;999;1C;00;0;03;01004;240100883;CC;3
01004;Ambérieu-en-Bugey;82;01;011;0101;8210;8201;01303;327;1C;01;3;31;01004;240100883;CC;1
01005;Ambérieux-en-Dombes;82;01;012;0130;8203;8213;01000;002;1C;09;0;06;69264;240100735;CC;2
01006;Ambléon;82;01;011;0104;8209;8216;01000;307;1C;02;0;02;01034;240100354;CC;2
01007;Ambronay;82;01;011;0101;8210;8201;01000;999;1C;00;0;07;01004;240100883;CC;3
01008;Ambutrix;82;01;011;0117;8210;8201;01000;999;1C;00;0;05;01004;240100883;CC;3
01009;Andert-et-Condon;82;01;011;0104;8209;8216;01000;307;1C;02;0;04;01034;240100354;CC;2
01010;Anglefort;82;01;011;0131;8209;8219;01000;000;9Z;00;0;05;74269;ZZZZZZZZZ;;6
01011;Apremont;82;01;014;0122;8204;8203;01000;157;1C;05;0;04;01283;240100909;CC;2
01012;Aranc;82;01;011;0115;8209;8203;01000;000;9Z;00;0;04;01185;240100578;CC;6
01013;Arandas;82;01;011;0128;8210;8201;01000;000;9Z;00;0;03;01004;240100396;CC;6
01014;Arbent;82;01;014;0123;8204;8203;01401;157;1C;05;4;43;01283;240100172;CC;1
01015;Arbignieu;82;01;011;0104;8209;8216;01000;307;1C;02;0;04;01034;240100354;CC;2
01016;Arbigny;82;01;012;0126;8203;0053;01000;000;9Z;00;0;04;01305;240100685;CC;6
01017;Argis;82;01;011;0128;8210;8201;01000;000;9Z;00;0;04;01004;240100396;CC;6
01019;Armix;82;01;011;0136;8209;8203;01000;999;1C;00;0;01;01034;240100743;CC;3
01021;Ars-sur-Formans;82;01;012;0142;8202;8213;01000;002;1C;09;0;06;69264;240100735;CC;2
01022;Artemare;82;01;011;0109;8209;8216;01000;000;9Z;00;0;05;01034;240100370;CC;6
01023;Asnières-sur-Saône;82;01;012;0102;8203;0053;01000;089;1C;06;0;02;71270;240100818;CC;2
01024;Attignat;82;01;012;0121;8203;8202;01000;076;1C;07;0;06;01266;240100156;CC;2
01025;Bâgé-la-Ville;82;01;012;0102;8203;0053;01111;089;1C;06;1;13;71270;240100818;CC;2
01026;Bâgé-le-Châtel;82;01;012;0102;8203;0053;01111;089;1C;06;1;13;71270;240100818;CC;2
01027;Balan;82;01;012;0120;8211;8214;01000;002;1C;09;0;06;69123;240100610;CC;2
01028;Baneins;82;01;012;0130;8203;8213;01000;999;1C;00;0;05;01093;240100644;CC;3
01029;Beaupont;82;01;012;0111;8203;8202;01000;000;9Z;00;0;04;01053;240100651;CC;6
01030;Beauregard;82;01;012;0134;8202;8213;00553;118;1C;06;5;51;69264;240100735;CC;1
01031;Bellignat;82;01;014;0141;8204;8203;01401;157;1C;05;4;43;01283;240100172;CC;1
01032;Béligneux;82;01;012;0120;8211;8214;01000;002;1C;09;0;07;69123;240100610;CC;2
