CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE2010;UU2010;AU2010;TUU2010;TDUU2010;TAU2010;CATAEU2010;EPCI;NATURE_EPCI
01001;L'Abergement-Clémenciat;82;01;012;0110;8213;01000;997;0;05;00;120;240100644;CC
01002;L'Abergement-de-Varey;82;01;011;0101;8201;01000;002;0;03;09;112;240100883;CC
01004;Ambérieu-en-Bugey;82;01;011;0101;8201;01302;002;3;32;09;112;240100883;CC
01005;Ambérieux-en-Dombes;82;01;012;0130;8213;01000;002;0;06;09;112;240100735;CC
01006;Ambléon;82;01;011;0104;8216;01000;998;0;03;00;300;240100354;CC
01007;Ambronay;82;01;011;0101;8201;01000;002;0;07;09;112;240100883;CC
01008;Ambutrix;82;01;011;0117;8201;01302;002;3;32;09;112;240100883;CC
01009;Andert-et-Condon;82;01;011;0104;8216;01000;294;0;04;02;212;240100354;CC
01010;Anglefort;82;01;011;0131;8219;01000;998;0;05;00;300;ZZZZZZZZZ;ZZ
01011;Apremont;82;01;014;0122;8203;01000;165;0;04;05;112;240100909;CC
01012;Aranc;82;01;011;0115;8203;01000;998;0;04;00;300;240100578;CC
01013;Arandas;82;01;011;0128;8201;01000;002;0;03;09;112;240100396;CC
01014;Arbent;82;01;014;0123;8203;01401;165;4;43;05;111;240100172;CC
01015;Arbignieu;82;01;011;0104;8216;01000;294;0;04;02;212;240100354;CC
01016;Arbigny;82;01;012;0126;0053;01000;997;0;04;00;120;240100685;CC
01017;Argis;82;01;011;0128;8201;01000;002;0;04;09;112;240100396;CC
01019;Armix;82;01;011;0136;8203;01000;997;0;01;00;120;240100743;CC
01021;Ars-sur-Formans;82;01;012;0142;8213;01000;002;0;06;09;112;240100735;CC
01022;Artemare;82;01;011;0109;8216;01000;998;0;06;00;300;240100370;CC
01023;Asnières-sur-Saône;82;01;012;0102;0053;01000;088;0;02;06;112;240100818;CC
01024;Attignat;82;01;012;0121;8202;01000;071;0;07;07;112;240100156;CC
01025;Bâgé-la-Ville;82;01;012;0102;0053;01119;088;1;14;06;112;240100818;CC
01026;Bâgé-le-Châtel;82;01;012;0102;0053;01119;088;1;14;06;112;240100818;CC
01027;Balan;82;01;012;0120;8214;01201;002;2;21;09;112;240100610;CC
01028;Baneins;82;01;012;0130;8213;01000;002;0;05;09;112;240100644;CC
01029;Beaupont;82;01;012;0111;8202;01000;071;0;05;07;112;240100651;CC
01030;Beauregard;82;01;012;0134;8213;00758;002;7;73;09;111;240100735;CC
01031;Bellignat;82;01;014;0141;8203;01401;165;4;43;05;111;240100172;CC
01032;Béligneux;82;01;012;0120;8214;01201;002;2;21;09;112;240100610;CC
01033;Bellegarde-sur-Valserine;82;01;014;0103;8219;00357;340;3;31;01;221;240100891;CC
01034;Belley;82;01;011;0104;8216;01205;294;2;22;02;211;240100354;CC
01035;Belleydoux;82;01;014;0123;8203;01000;165;0;04;05;112;ZZZZZZZZZ;ZZ
01036;Belmont-Luthézieu;82;01;011;0109;8216;01000;998;0;04;00;300;240100370;CC
01037;Bénonces;82;01;011;0118;8201;01000;002;0;04;09;112;240100412;CC
01038;Bény;82;01;012;0111;8202;01000;071;0;05;07;112;240100651;CC
01039;Béon;82;01;011;0109;8216;01000;998;0;04;00;300;240100438;CC
01040;Béréziat;82;01;012;0121;8202;01000;071;0;04;07;112;240100156;CC
01041;Bettant;82;01;011;0101;8201;01302;002;3;32;09;112;240100883;CC
