CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE2010;UU2010;AU2010;TUU2010;TDUU2010;TAU2010;CATAEU2010;EPCI;NATURE_EPCI;POP2010;POP1999;CAT_ZDIFF;MODE_COLLECTE;GR_ROTATION
01001;L'Abergement-Clémenciat;82;01;012;0110;8213;01000;997;0;05;00;120;240100644;CC;784;725;1;1;3
01002;L'Abergement-de-Varey;82;01;011;0101;8201;01000;002;0;03;09;112;240100883;CC;221;167;1;1;3
01004;Ambérieu-en-Bugey;82;01;011;0101;8201;01302;002;3;32;09;112;240100883;CC;13835;11432;3;2;
01005;Ambérieux-en-Dombes;82;01;012;0130;8213;01000;002;0;06;09;112;240100735;CC;1616;1407;1;1;2
01006;Ambléon;82;01;011;0104;8216;01000;998;0;03;00;300;240100354;CC;116;86;1;1;3
01007;Ambronay;82;01;011;0101;8201;01000;002;0;07;09;112;240100883;CC;2362;2144;2;1;1
01008;Ambutrix;82;01;011;0117;8201;01302;002;3;32;09;112;240100883;CC;729;586;1;1;5
01009;Andert-et-Condon;82;01;011;0104;8216;01000;294;0;04;02;212;240100354;CC;340;275;1;1;5
01010;Anglefort;82;01;011;0131;8219;01000;998;0;05;00;300;247400823;CC;994;772;1;1;4
01011;Apremont;82;01;014;0122;8203;01000;165;0;04;05;112;240100909;CC;363;328;1;1;4
01012;Aranc;82;01;011;0115;8203;01000;998;0;04;00;300;240100578;CC;302;275;1;1;4
01013;Arandas;82;01;011;0128;8201;01000;002;0;03;09;112;240100396;CC;163;135;1;1;4
01014;Arbent;82;01;014;0123;8203;01401;165;4;43;05;111;240100172;CC;3476;3623;2;1;4
01015;Arbignieu;82;01;011;0104;8216;01000;294;0;04;02;212;240100354;CC;480;431;1;1;5
01016;Arbigny;82;01;012;0126;0053;01000;997;0;04;00;120;240100685;CC;399;330;1;1;2
01017;Argis;82;01;011;0128;8201;01000;002;0;04;09;112;240100396;CC;421;389;1;1;3
01019;Armix;82;01;011;0136;8203;01000;997;0;01;00;120;240100743;CC;20;15;1;1;2
01021;Ars-sur-Formans;82;01;012;0142;8213;01000;002;0;06;09;112;240100735;CC;1367;1100;1;1;5
01022;Artemare;82;01;011;0109;8216;01000;998;0;06;00;300;240100370;CC;1126;970;1;1;3
01023;Asnières-sur-Saône;82;01;012;0102;0053;01000;088;0;02;06;112;240100818;CC;73;69;1;1;1
01024;Attignat;82;01;012;0121;8202;01000;071;0;07;07;112;240100156;CC;2936;1923;2;1;4
01025;Bâgé-la-Ville;82;01;012;0102;0053;01119;088;1;14;06;112;240100818;CC;3040;2318;2;1;1
01026;Bâgé-le-Châtel;82;01;012;0102;0053;01119;088;1;14;06;112;240100818;CC;796;759;1;1;1
01027;Balan;82;01;012;0120;8214;01201;002;2;21;09;112;240100610;CC;2348;1534;2;1;5
01028;Baneins;82;01;012;0130;8213;01000;002;0;05;09;112;240100644;CC;572;528;1;1;2
01029;Beaupont;82;01;012;0111;8202;01000;071;0;05;07;112;240100651;CC;624;492;1;1;4
01030;Beauregard;82;01;012;0134;8213;00758;002;7;73;09;111;240100735;CC;870;816;1;1;1
01031;Bellignat;82;01;014;0141;8203;01401;165;4;43;05;111;240100172;CC;3537;3505;2;1;4
01032;Béligneux;82;01;012;0120;8214;01201;002;2;21;09;112;240100610;CC;2905;2595;2;1;5
01033;Bellegarde-sur-Valserine;82;01;014;0103;8219;00357;340;3;31;01;221;240100891;CC;11790;10878;3;2;
01034;Belley;82;01;011;0104;8216;01205;294;2;22;02;211;240100354;CC;8755;8002;2;1;3
01035;Belleydoux;82;01;014;0123;8203;01000;165;0;04;05;112;240100172;CC;321;277;1;1;2
01036;Belmont-Luthézieu;82;01;011;0109;8216;01000;998;0;04;00;300;240100370;CC;514;400;1;1;3
01037;Bénonces;82;01;011;0118;8201;01000;002;0;04;09;112;240100412;CC;275;241;1;1;3
01038;Bény;82;01;012;0111;8202;01000;071;0;05;07;112;240100651;CC;724;613;1;1;3
01039;Béon;82;01;011;0109;8216;01000;998;0;04;00;300;240100438;CC;373;364;1;1;5
01040;Béréziat;82;01;012;0121;8202;01000;071;0;04;07;112;240100156;CC;445;341;1;1;2
01041;Bettant;82;01;011;0101;8201;01302;002;3;32;09;112;240100883;CC;724;685;1;1;5
01042;Bey;82;01;012;0127;0053;01000;088;0;04;06;112;240100826;CC;245;221;1;1;3
01043;Beynost;82;01;012;0140;8214;00758;002;7;73;09;111;240100800;CC;4475;3528;2;1;1
01044;Billiat;82;01;014;0103;8219;01000;998;0;04;00;300;240100891;CC;484;411;1;1;5
01045;Birieux;82;01;012;0135;8214;01000;002;0;04;09;112;240100875;CC;236;145;1;1;5
01046;Biziat;82;01;012;0110;0053;01000;997;0;05;00;120;240100669;CC;797;647;1;1;4
01047;Blyes;82;01;011;0117;8201;01000;002;0;05;09;112;240100883;CC;886;691;1;1;2
01049;La Boisse;82;01;012;0120;8214;00758;002;7;73;09;111;240100610;CC;2928;2704;2;1;2
01050;Boissey;82;01;012;0126;0053;01000;088;0;04;06;112;240100685;CC;288;202;1;1;2
01051;Bolozon;82;01;014;0116;8203;01000;997;0;03;00;120;240100701;CC;94;94;1;1;4
01052;Bouligneux;82;01;012;0135;8214;01000;002;0;04;09;112;240100875;CC;309;290;1;1;4
01053;Bourg-en-Bresse;82;01;012;0199;8202;01501;071;5;51;07;111;240100628;CA;40088;40628;3;2;
01054;Bourg-Saint-Christophe;82;01;012;0119;8201;01206;002;2;22;09;112;240100883;CC;1173;824;1;1;5
01056;Boyeux-Saint-Jérôme;82;01;014;0124;8201;01000;002;0;04;09;112;200029999;CC;321;277;1;1;4
01057;Boz;82;01;012;0126;0053;01000;088;0;04;06;112;240100685;CC;496;360;1;1;2
01058;Brégnier-Cordon;82;01;011;0104;8209;01000;997;0;05;00;120;240100347;CC;832;566;1;1;2
01059;Brénaz;82;01;011;0109;8216;01000;000;0;02;00;400;240100370;CC;92;105;1;1;3
01060;Brénod;82;01;014;0106;8203;01000;998;0;05;00;300;240100867;CC;544;427;1;1;4
01061;Brens;82;01;011;0104;8216;01205;294;2;22;02;211;240100354;CC;1158;732;1;1;2
01062;Bressolles;82;01;012;0120;8214;01000;002;0;05;09;112;240100610;CC;709;587;1;1;5
01063;Brion;82;01;014;0122;8203;01202;545;2;21;01;221;240100909;CC;517;559;1;1;3
01064;Briord;82;01;011;0118;8201;01000;002;0;05;09;112;240100412;CC;893;674;1;1;2
01065;Buellas;82;01;012;0143;8202;01104;071;1;11;07;112;240100628;CA;1669;1288;1;1;1
01066;La Burbanche;82;01;011;0136;8201;01000;997;0;02;00;120;240100743;CC;72;56;1;1;1
01067;Ceignes;82;01;014;0116;8203;01000;998;0;04;00;300;240100701;CC;265;229;1;1;1
01068;Cerdon;82;01;014;0124;8201;01000;997;0;05;00;120;200029999;CC;741;672;1;1;2
01069;Certines;82;01;012;0125;8202;01111;071;1;13;07;112;240100842;CC;1445;1287;1;1;5
01071;Cessy;82;01;013;0114;8219;01301;037;3;31;08;112;240100750;CC;3992;2287;2;1;4
01072;Ceyzériat;82;01;012;0107;8202;01114;071;1;13;07;112;240100693;CC;2738;2388;2;1;5
01073;Ceyzérieu;82;01;011;0136;8216;01000;998;0;05;00;300;240100438;CC;929;816;1;1;5
01074;Chalamont;82;01;012;0108;8214;01000;002;0;07;09;112;240100677;CC;2322;1656;2;1;3
01075;Chaleins;82;01;012;0130;8213;01000;002;0;06;09;112;ZZZZZZZZZ;;1165;1025;1;1;2
01076;Chaley;82;01;011;0128;8201;01000;997;0;03;00;120;240100396;CC;127;107;1;1;4
01077;Challes-la-Montagne;82;01;014;0124;8201;01000;998;0;03;00;300;200029999;CC;179;203;1;1;3
01078;Challex;82;01;013;0112;8219;01000;037;0;06;08;112;240100750;CC;1225;1060;1;1;2
01079;Champagne-en-Valromey;82;01;011;0109;8216;01000;000;0;05;00;400;240100370;CC;765;674;1;1;1
01080;Champdor;82;01;014;0106;8203;01000;540;0;04;01;222;240100578;CC;464;426;1;1;4
01081;Champfromier;82;01;014;0103;8219;01000;000;0;05;00;400;240100891;CC;677;591;1;1;1
01082;Chanay;82;01;011;0131;8219;01000;998;0;05;00;300;240100891;CC;617;573;1;1;4
01083;Chaneins;82;01;012;0130;8213;01000;002;0;05;09;112;240100941;CC;820;560;1;1;3
01084;Chanoz-Châtenay;82;01;012;0110;8202;01000;997;0;05;00;120;240100669;CC;706;492;1;1;2
01085;La Chapelle-du-Châtelard;82;01;012;0135;8213;01000;002;0;04;09;112;240100875;CC;341;263;1;1;3
01087;Charix;82;01;014;0122;8203;01000;998;0;04;00;300;240100909;CC;294;265;1;1;4
01088;Charnoz-sur-Ain;82;01;012;0119;8201;01000;002;0;05;09;112;240100883;CC;911;808;1;1;5
01089;Château-Gaillard;82;01;011;0101;8201;01000;002;0;06;09;112;240100883;CC;1818;1370;1;1;1
01090;Châtenay;82;01;012;0108;8214;01000;002;0;04;09;112;240100677;CC;352;308;1;1;1
01091;Châtillon-en-Michaille;82;01;014;0103;8219;01000;998;0;07;00;300;240100891;CC;3120;2657;2;1;3
01092;Châtillon-la-Palud;82;01;012;0108;8201;01000;002;0;06;09;112;240100677;CC;1562;1075;1;1;1
01093;Châtillon-sur-Chalaronne;82;01;012;0110;8213;01124;997;1;14;00;120;240100644;CC;4922;4130;2;1;4
01094;Chavannes-sur-Reyssouze;82;01;012;0126;0053;01000;997;0;05;00;120;240100685;CC;680;580;1;1;5
01095;Chavannes-sur-Suran;82;01;012;0133;8202;01000;071;0;05;07;112;240100636;CC;644;485;1;1;3
01096;Chaveyriat;82;01;012;0110;8202;01000;071;0;05;07;112;240100669;CC;927;810;1;1;5
01097;Chavornay;82;01;011;0109;8216;01000;998;0;03;00;300;240100370;CC;199;176;1;1;3
