NIVGEO;CODGEO;LIBGEO
ARM;13201;Marseille 1er Arrondissement
ARM;13202;Marseille 2e Arrondissement
ARM;13203;Marseille 3e Arrondissement
ARM;13204;Marseille 4e Arrondissement
ARM;13205;Marseille 5e Arrondissement
ARM;13206;Marseille 6e Arrondissement
ARM;13207;Marseille 7e Arrondissement
ARM;13208;Marseille 8e Arrondissement
ARM;13209;Marseille 9e Arrondissement
ARM;13210;Marseille 10e Arrondissement
ARM;13211;Marseille 11e Arrondissement
ARM;13212;Marseille 12e Arrondissement
ARM;13213;Marseille 13e Arrondissement
ARM;13214;Marseille 14e Arrondissement
ARM;13215;Marseille 15e Arrondissement
ARM;13216;Marseille 16e Arrondissement
ARM;69381;Lyon 1er Arrondissement
ARM;69382;Lyon 2e Arrondissement
ARM;69383;Lyon 3e Arrondissement
ARM;69384;Lyon 4e Arrondissement
ARM;69385;Lyon 5e Arrondissement
ARM;69386;Lyon 6e Arrondissement
ARM;69387;Lyon 7e Arrondissement
ARM;69388;Lyon 8e Arrondissement
ARM;69389;Lyon 9e Arrondissement
ARM;75101;Paris 1er Arrondissement
ARM;75102;Paris 2e Arrondissement
ARM;75103;Paris 3e Arrondissement
ARM;75104;Paris 4e Arrondissement
ARM;75105;Paris 5e Arrondissement
ARM;75106;Paris 6e Arrondissement
ARM;75107;Paris 7e Arrondissement
ARM;75108;Paris 8e Arrondissement
ARM;75109;Paris 9e Arrondissement
ARM;75110;Paris 10e Arrondissement
ARM;75111;Paris 11e Arrondissement
ARM;75112;Paris 12e Arrondissement
ARM;75113;Paris 13e Arrondissement
ARM;75114;Paris 14e Arrondissement
ARM;75115;Paris 15e Arrondissement
ARM;75116;Paris 16e Arrondissement
ARM;75117;Paris 17e Arrondissement
ARM;75118;Paris 18e Arrondissement
ARM;75119;Paris 19e Arrondissement
ARM;75120;Paris 20e Arrondissement
ARR;011;Belley
ARR;012;Bourg-en-Bresse
ARR;013;Gex
ARR;014;Nantua
ARR;021;Château-Thierry
ARR;022;Laon
ARR;023;Saint-Quentin
ARR;024;Soissons
ARR;025;Vervins
ARR;031;Montluçon
ARR;032;Moulins
ARR;033;Vichy
ARR;041;Barcelonnette
ARR;042;Castellane
ARR;043;Digne-les-Bains
ARR;044;Forcalquier
ARR;051;Briançon
ARR;052;Gap
ARR;061;Grasse
ARR;062;Nice
ARR;071;Largentière
ARR;072;Privas
ARR;073;Tournon-sur-Rhône
ARR;081;Charleville-Mézières
ARR;082;Rethel
ARR;083;Sedan
ARR;084;Vouziers
ARR;091;Foix
ARR;092;Pamiers
ARR;093;Saint-Girons
ARR;101;Bar-sur-Aube
