NIVGEO;CODGEO;LIBGEO;NB_COM
ARR;011;Belley;107
ARR;012;Bourg-en-Bresse;219
ARR;013;Gex;29
ARR;014;Nantua;64
ARR;021;Château-Thierry;123
ARR;022;Laon;278
ARR;023;Saint-Quentin;126
ARR;024;Soissons;159
ARR;025;Vervins;130
ARR;031;Montluçon;106
ARR;032;Moulins;111
ARR;033;Vichy;103
ARR;041;Barcelonnette;16
ARR;042;Castellane;32
ARR;043;Digne-les-Bains;65
ARR;044;Forcalquier;87
ARR;051;Briançon;38
ARR;052;Gap;134
ARR;061;Grasse;62
ARR;062;Nice;101
ARR;071;Largentière;148
ARR;072;Privas;65
ARR;073;Tournon-sur-Rhône;126
ARR;081;Charleville-Mézières;160
ARR;082;Rethel;101
ARR;083;Sedan;79
ARR;084;Vouziers;123
ARR;091;Foix;135
ARR;092;Pamiers;115
ARR;093;Saint-Girons;82
ARR;101;Bar-sur-Aube;104
ARR;102;Nogent-sur-Seine;82
ARR;103;Troyes;247
ARR;111;Carcassonne;207
ARR;112;Limoux;149
ARR;113;Narbonne;82
ARR;121;Millau;101
ARR;122;Rodez;139
ARR;123;Villefranche-de-Rouergue;64
ARR;131;Aix-en-Provence;44
ARR;132;Arles;36
ARR;133;Marseille;21
ARR;134;Istres;18
ARR;141;Bayeux;126
ARR;142;Caen;288
ARR;143;Lisieux;204
ARR;144;Vire;88
ARR;151;Aurillac;96
ARR;152;Mauriac;55
ARR;153;Saint-Flour;109
ARR;161;Angoulême;153
ARR;162;Cognac;112
ARR;163;Confolens;139
ARR;171;Jonzac;114
ARR;172;Rochefort;79
ARR;173;La Rochelle;57
ARR;174;Saintes;107
ARR;175;Saint-Jean-d'Angély;115
ARR;181;Bourges;131
ARR;182;Saint-Amand-Montrond;116
ARR;183;Vierzon;43
ARR;191;Brive-la-Gaillarde;99
ARR;192;Tulle;118
ARR;193;Ussel;69
ARR;211;Beaune;194
ARR;212;Dijon;259
ARR;213;Montbard;253
ARR;221;Dinan;101
ARR;222;Guingamp;90
ARR;223;Lannion;60
ARR;224;Saint-Brieuc;122
ARR;231;Aubusson;118
ARR;232;Guéret;142
ARR;241;Bergerac;159
ARR;242;Nontron;80
ARR;243;Périgueux;196
ARR;244;Sarlat-la-Canéda;122
ARR;251;Besançon;268
ARR;252;Montbéliard;171
ARR;253;Pontarlier;155
ARR;261;Die;104
ARR;262;Nyons;142
ARR;263;Valence;123
ARR;271;Les Andelys;175
ARR;272;Bernay;263
ARR;273;Évreux;237
ARR;281;Chartres;161
ARR;282;Châteaudun;80
ARR;283;Dreux;109
ARR;284;Nogent-le-Rotrou;52
ARR;291;Brest;80
ARR;292;Châteaulin;61
ARR;293;Morlaix;60
ARR;294;Quimper;82
ARR;2A1;Ajaccio;80
ARR;2A4;Sartène;44
ARR;2B2;Bastia;27
ARR;2B3;Corte;158
ARR;2B5;Calvi;51
ARR;301;Alès;101
ARR;302;Nîmes;177
ARR;303;Le Vigan;75
ARR;311;Muret;126
ARR;312;Saint-Gaudens;237
ARR;313;Toulouse;226
ARR;321;Auch;154
ARR;322;Condom;159
ARR;323;Mirande;150
ARR;331;Blaye;65
ARR;332;Bordeaux;82
ARR;333;Langon;198
ARR;334;Lesparre-Médoc;51
ARR;335;Libourne;129
ARR;336;Arcachon;17
ARR;341;Béziers;152
ARR;342;Lodève;98
ARR;343;Montpellier;93
ARR;351;Fougères-Vitré;116
ARR;352;Redon;53
ARR;353;Rennes;121
ARR;354;Saint-Malo;63
ARR;361;Le Blanc;56
ARR;362;Châteauroux;82
ARR;363;La Châtre;58
ARR;364;Issoudun;51
ARR;371;Chinon;87
ARR;372;Tours;123
ARR;373;Loches;67
ARR;381;Grenoble;297
ARR;382;La Tour-du-Pin;137
ARR;383;Vienne;99
ARR;391;Dole;125
ARR;392;Lons-le-Saunier;349
ARR;393;Saint-Claude;70
ARR;401;Dax;153
ARR;402;Mont-de-Marsan;178
ARR;411;Blois;121
ARR;412;Vendôme;107
ARR;413;Romorantin-Lanthenay;63
ARR;421;Montbrison;138
ARR;422;Roanne;115
ARR;423;Saint-Étienne;74
ARR;431;Brioude;113
ARR;432;Le Puy-en-Velay;103
ARR;433;Yssingeaux;44
ARR;441;Châteaubriant;53
ARR;442;Nantes;82
ARR;443;Saint-Nazaire;57
ARR;444;Ancenis;29
ARR;451;Montargis;126
ARR;452;Orléans;122
ARR;453;Pithiviers;86
ARR;461;Cahors;135
ARR;462;Figeac;120
ARR;463;Gourdon;85
ARR;471;Agen;71
ARR;472;Marmande;98
ARR;473;Villeneuve-sur-Lot;92
ARR;474;Nérac;58
ARR;481;Florac;50
ARR;482;Mende;135
ARR;491;Angers;112
ARR;492;Cholet;77
ARR;493;Saumur;107
ARR;494;Segré;61
ARR;501;Avranches;160
ARR;502;Cherbourg;189
ARR;503;Coutances;130
ARR;504;Saint-Lô;122
ARR;511;Châlons-en-Champagne;100
ARR;512;Épernay;184
ARR;513;Reims;156
ARR;514;Vitry-le-François;113
ARR;515;Sainte-Menehould;67
ARR;521;Chaumont;161
ARR;522;Langres;161
ARR;523;Saint-Dizier;115
ARR;531;Château-Gontier;71
ARR;532;Laval;88
ARR;533;Mayenne;102
ARR;541;Briey;130
ARR;542;Lunéville;164
ARR;543;Nancy;188
ARR;544;Toul;112
ARR;551;Bar-le-Duc;109
ARR;552;Commercy;136
ARR;553;Verdun;255
ARR;561;Lorient;60
ARR;562;Pontivy;78
ARR;563;Vannes;123
ARR;571;Boulay-Moselle;96
ARR;572;Château-Salins;128
ARR;573;Forbach;73
ARR;574;Metz-Campagne;142
ARR;575;Sarrebourg;102
ARR;576;Sarreguemines;83
ARR;577;Thionville-Est;75
ARR;578;Thionville-Ouest;30
ARR;579;Metz-Ville;1
ARR;581;Château-Chinon (Ville);72
ARR;582;Clamecy;93
ARR;583;Nevers;83
ARR;584;Cosne-Cours-sur-Loire;64
ARR;591;Avesnes-sur-Helpe;151
ARR;592;Cambrai;116
ARR;593;Douai;64
ARR;594;Dunkerque;113
ARR;595;Lille;124
ARR;596;Valenciennes;82
ARR;601;Beauvais;258
ARR;602;Clermont;146
ARR;603;Compiègne;156
ARR;604;Senlis;133
ARR;611;Alençon;133
ARR;612;Argentan;226
ARR;613;Mortagne-au-Perche;146
ARR;621;Arras;369
ARR;622;Béthune;100
ARR;623;Boulogne-sur-Mer;75
ARR;624;Montreuil;164
ARR;625;Saint-Omer;116
ARR;626;Calais;28
ARR;627;Lens;43
ARR;631;Ambert;55
ARR;632;Clermont-Ferrand;119
ARR;633;Issoire;116
ARR;634;Riom;137
ARR;635;Thiers;43
ARR;641;Bayonne;123
ARR;642;Oloron-Sainte-Marie;155
ARR;643;Pau;269
ARR;651;Argelès-Gazost;89
ARR;652;Bagnères-de-Bigorre;160
ARR;653;Tarbes;225
ARR;661;Céret;40
ARR;662;Perpignan;86
ARR;663;Prades;100
ARR;672;Haguenau;56
ARR;673;Molsheim;69
ARR;674;Saverne;128
ARR;675;Sélestat-Erstein;101
ARR;676;Strasbourg-Campagne;104
ARR;677;Wissembourg;68
ARR;678;Strasbourg-Ville;1
ARR;681;Altkirch;111
ARR;682;Colmar;62
ARR;683;Guebwiller;47
ARR;684;Mulhouse;73
ARR;685;Ribeauvillé;32
ARR;686;Thann;52
ARR;691;Lyon;161
ARR;692;Villefranche-sur-Saône;127
ARR;701;Lure;194
ARR;702;Vesoul;351
ARR;711;Autun;83
ARR;712;Chalon-sur-Saône;151
ARR;713;Charolles;136
ARR;714;Louhans;79
ARR;715;Mâcon;124
ARR;721;La Flèche;125
ARR;722;Mamers;202
ARR;723;Le Mans;48
ARR;731;Albertville;82
ARR;732;Chambéry;161
ARR;733;Saint-Jean-de-Maurienne;62
ARR;741;Annecy;93
ARR;742;Bonneville;61
ARR;743;Saint-Julien-en-Genevois;72
ARR;744;Thonon-les-Bains;68
ARR;751;Paris;1
ARR;761;Dieppe;350
ARR;762;Le Havre;176
ARR;763;Rouen;219
ARR;771;Meaux;128
ARR;772;Melun;91
ARR;773;Provins;165
ARR;774;Fontainebleau;87
ARR;775;Torcy;43
ARR;781;Mantes-la-Jolie;117
ARR;782;Rambouillet;81
ARR;783;Saint-Germain-en-Laye;45
ARR;784;Versailles;19
ARR;791;Bressuire;61
ARR;792;Niort;165
ARR;793;Parthenay;77
ARR;801;Abbeville;200
ARR;802;Amiens;281
ARR;803;Montdidier;132
ARR;804;Péronne;169
ARR;811;Albi;170
ARR;812;Castres;153
ARR;821;Castelsarrasin;103
ARR;822;Montauban;92
ARR;831;Draguignan;58
ARR;832;Toulon;34
ARR;833;Brignoles;61
ARR;841;Apt;56
ARR;842;Avignon;37
ARR;843;Carpentras;58
ARR;851;Fontenay-le-Comte;107
ARR;852;La Roche-sur-Yon;92
ARR;853;Les Sables-d'Olonne;83
ARR;861;Châtellerault;96
ARR;862;Montmorillon;98
ARR;863;Poitiers;87
ARR;871;Bellac;63
ARR;872;Limoges;108
ARR;873;Rochechouart;30
ARR;881;Épinal;218
ARR;882;Neufchâteau;206
ARR;883;Saint-Dié-des-Vosges;90
ARR;891;Auxerre;197
ARR;892;Avallon;149
ARR;893;Sens;109
ARR;901;Belfort;102
ARR;911;Étampes;79
ARR;912;Évry;52
ARR;913;Palaiseau;65
ARR;921;Antony;12
ARR;922;Nanterre;15
ARR;923;Boulogne-Billancourt;9
ARR;931;Bobigny;15
ARR;932;Le Raincy;16
ARR;933;Saint-Denis;9
ARR;941;Créteil;23
ARR;942;Nogent-sur-Marne;14
ARR;943;L'Haÿ-les-Roses;10
ARR;951;Argenteuil;7
ARR;952;Sarcelles;61
ARR;953;Pontoise;117
ARR;9711;Basse-Terre;18
ARR;9712;Pointe-à-Pitre;14
ARR;9721;Fort-de-France;4
ARR;9722;La Trinité;10
ARR;9723;Le Marin;12
ARR;9724;Saint-Pierre;8
ARR;9731;Cayenne;14
ARR;9732;Saint-Laurent-du-Maroni;8
ARR;9741;Saint-Denis;3
ARR;9742;Saint-Pierre;10
ARR;9743;Saint-Benoît;6
ARR;9744;Saint-Paul;5
ARR;ZZZZ;Sans objet;17
AU2010;000;Communes isolées hors influence des pôles;7408
AU2010;001;Paris;1797
AU2010;002;Lyon;513
AU2010;003;Marseille - Aix-en-Provence;90
AU2010;004;Toulouse;453
AU2010;005;Lille (partie française);125
AU2010;006;Bordeaux;255
AU2010;007;Nice;129
AU2010;008;Nantes;114
AU2010;009;Strasbourg (partie française);267
AU2010;010;Grenoble;197
AU2010;011;Rennes;190
AU2010;012;Rouen;293
AU2010;013;Toulon;40
AU2010;014;Douai - Lens;103
AU2010;015;Montpellier;116
AU2010;016;Avignon;97
AU2010;017;Saint-Étienne;117
AU2010;018;Tours;144
AU2010;019;Clermont-Ferrand;185
AU2010;020;Nancy;285
AU2010;021;Orléans;138
AU2010;022;Caen;268
AU2010;023;Angers;133
AU2010;024;Metz;218
AU2010;025;Dijon;295
AU2010;026;Valenciennes (partie française);90
AU2010;027;Béthune;122
AU2010;028;Le Mans;124
AU2010;029;Reims;238
AU2010;030;Brest;52
AU2010;031;Perpignan;66
AU2010;032;Le Havre;81
AU2010;033;Amiens;257
AU2010;034;Mulhouse;65
AU2010;035;Limoges;96
AU2010;036;Bayonne (partie française);60
AU2010;037;Genève (SUI) - Annemasse (partie française);114
AU2010;038;Dunkerque;57
AU2010;039;Poitiers;103
AU2010;040;Nîmes;50
AU2010;041;Besançon;263
AU2010;042;Pau;167
AU2010;043;Lorient;29
AU2010;044;Annecy;69
AU2010;045;Chambéry;88
AU2010;046;Saint-Nazaire;29
AU2010;047;La Rochelle;63
AU2010;048;Troyes;149
AU2010;049;Angoulême;108
AU2010;050;Valence;41
AU2010;051;Saint-Brieuc;49
AU2010;052;Montbéliard;121
AU2010;053;Béziers;40
AU2010;054;Niort;77
AU2010;055;Vannes;33
AU2010;056;Chartres;92
AU2010;057;Bourges;72
AU2010;058;Boulogne-sur-Mer;49
