CODGEO;LIBGEO;DEP;REG;EPCI;NATURE_EPCI;ARR;CV;ZE2010;UU2010;TUU2014;TDUU2014;AU2010;TAU2014;CATAEU2010;BV2012
01001;L'Abergement-Clémenciat;01;84;200069193;CC;012;0108;8213;01000;0;05;997;00;120;01093
01002;L'Abergement-de-Varey;01;84;240100883;CC;011;0101;8201;01000;0;04;002;09;112;01004
01004;Ambérieu-en-Bugey;01;84;240100883;CC;011;0101;8201;01302;3;32;002;09;112;01004
01005;Ambérieux-en-Dombes;01;84;200042497;CC;012;0122;8213;01000;0;06;002;09;112;69123
01006;Ambléon;01;84;200040350;CC;011;0104;8216;01000;0;03;998;00;300;01034
01007;Ambronay;01;84;240100883;CC;011;0101;8201;01000;0;07;002;09;112;01004
01008;Ambutrix;01;84;240100883;CC;011;0101;8201;01302;3;32;002;09;112;01004
01009;Andert-et-Condon;01;84;200040350;CC;011;0104;8216;01000;0;04;294;02;212;01034
01010;Anglefort;01;84;200070852;CC;011;0110;8219;01000;0;06;998;00;300;74269
01011;Apremont;01;84;200042935;CC;014;0114;8203;01000;0;04;165;05;112;01283
01012;Aranc;01;84;240100578;CC;011;0110;8203;01000;0;04;998;00;300;01185
01013;Arandas;01;84;240100883;CC;011;0101;8201;01000;0;03;002;09;112;01004
01014;Arbent;01;84;200042935;CC;014;0115;8203;01401;4;43;165;05;111;01283
01015;Arboys en Bugey;01;84;200040350;CC;011;0104;8216;01000;0;05;294;02;212;01034
01016;Arbigny;01;84;200071371;CC;012;0117;0053;01000;0;04;997;00;120;01305
01017;Argis;01;84;240100883;CC;011;0101;8201;01000;0;04;002;09;112;01185
01019;Armix;01;84;200040350;CC;011;0110;8203;01000;0;01;997;00;120;01185
01021;Ars-sur-Formans;01;84;200042497;CC;012;0122;8213;01000;0;06;002;09;112;69123
01022;Artemare;01;84;200040350;CC;011;0110;8216;01000;0;06;998;00;300;01034
01023;Asnières-sur-Saône;01;84;200071371;CC;012;0117;0053;01000;0;02;088;07;112;01305
01024;Attignat;01;84;200071751;CA;012;0102;8202;01000;0;07;071;07;112;01266
01025;Bâgé-la-Ville;01;84;200071371;CC;012;0117;0053;01119;1;14;088;07;112;71270
01026;Bâgé-le-Châtel;01;84;200071371;CC;012;0117;0053;01119;1;14;088;07;112;71270
01027;Balan;01;84;240100610;CC;012;0112;8214;01201;2;21;002;09;112;69123
01028;Baneins;01;84;200069193;CC;012;0122;8213;01000;0;05;002;09;112;01093
01029;Beaupont;01;84;200071751;CA;012;0118;8202;01000;0;05;071;07;112;39475
01030;Beauregard;01;84;200042497;CC;012;0121;8213;00758;7;73;002;09;111;69123
01031;Bellignat;01;84;200042935;CC;014;0114;8203;01401;4;43;165;05;111;01283
01032;Béligneux;01;84;240100610;CC;012;0112;8214;01201;2;21;002;09;112;69123
01033;Bellegarde-sur-Valserine;01;84;240100891;CC;014;0103;8219;00357;3;31;340;01;221;01033
01034;Belley;01;84;200040350;CC;011;0104;8216;01205;3;31;294;02;211;01034
01035;Belleydoux;01;84;200042935;CC;014;0114;8203;01000;0;04;165;05;112;01283
01036;Belmont-Luthézieu;01;84;200040350;CC;011;0110;8216;01000;0;05;998;00;300;01034
01037;Bénonces;01;84;240100883;CC;011;0111;8201;01000;0;04;002;09;112;38247
01038;Bény;01;84;200071751;CA;012;0118;8202;01000;0;05;071;07;112;01053
01039;Béon;01;84;200040350;CC;011;0110;8216;01000;0;04;998;00;300;01034
