"COMMUNE";"DCLT";"CS1";"AGEREVQ";"IPONDI"
"55298";"45055";"5";"25";4
"55298";"52448";"3";"50";4
"55298";"54323";"5";"55";4
"55298";"55010";"6";"35";4
"55298";"55029";"6";"20";4
"55298";"55029";"6";"40";4
"55298";"55029";"6";"45";4
"55298";"55029";"6";"55";4
"55298";"55029";"5";"45";4
"55298";"55029";"6";"35";4
"55298";"55029";"5";"50";4
"55298";"55029";"5";"35";4
"55298";"55029";"4";"40";4
"55298";"55029";"3";"40";4
"55298";"55029";"4";"50";4
"55298";"55029";"6";"45";4
"55298";"55029";"4";"55";4
"55298";"55029";"5";"20";4
"55298";"55029";"2";"30";4
"55298";"55029";"1";"65";4
"55298";"55029";"5";"45";4
"55298";"55029";"5";"30";4
"55298";"55029";"4";"55";4
"55298";"55029";"2";"35";4
"55298";"55029";"5";"35";4
"55298";"55029";"5";"50";4
"55298";"55029";"4";"30";4
"55298";"55029";"4";"55";4
"55298";"55122";"5";"30";4
"55298";"55122";"3";"40";4
"55298";"55186";"4";"55";4
"55298";"55186";"5";"45";4
"55298";"55291";"5";"50";4
"55298";"55291";"4";"40";4
"55298";"55298";"5";"45";4
"55298";"55298";"1";"50";4
"55298";"55298";"3";"40";4
"55298";"55298";"2";"40";4
"55298";"55298";"5";"45";4
"55298";"55298";"3";"50";4
"55298";"55298";"1";"40";4
"55298";"55298";"5";"45";4
"55298";"55298";"1";"80";4
"55298";"55298";"1";"70";4
"55298";"55298";"1";"55";4
"55298";"55298";"1";"45";4
"55298";"55302";"6";"20";4
"55298";"55302";"3";"55";4
"55298";"55427";"5";"30";4
"55298";"55445";"4";"35";4
"55298";"55466";"5";"40";4
"55298";"55476";"3";"40";4
"55298";"55519";"6";"45";4
"55298";"55519";"6";"40";4
"55298";"55519";"4";"40";4
"55298";"55519";"5";"25";4
"55298";"55519";"6";"40";4
"55298";"57463";"3";"40";4
"55298";"67348";"6";"35";4
"55298";"99999";"4";"30";4
"61001";"03168";"4";"25";1.00115748566036
"61001";"14047";"6";"20";3.02882912456677
"61001";"14118";"6";"40";1.01858945443022
"61001";"14118";"6";"30";1.01858945443022
"61001";"14118";"5";"55";2.85638929397278
"61001";"14118";"3";"50";2.97784753809376
"61001";"14118";"3";"30";0.96627569258964
"61001";"14118";"3";"40";2.74721145185593
"61001";"14118";"4";"20";3.03557477200094
"61001";"14118";"6";"25";3.01103301562991
"61001";"14118";"3";"55";2.71233064549362
"61001";"14118";"6";"30";1.01858945443022
"61001";"14118";"5";"55";2.85638929397278
"61001";"14118";"4";"25";1.0298019023527
"61001";"14118";"2";"60";3.08714080975496
"61001";"14118";"6";"30";1.01858945443022
"61001";"14118";"6";"30";2.82962655686314
"61001";"14118";"4";"20";2.55033870566591
"61001";"14118";"6";"30";2.85638929397278
"61001";"14118";"5";"25";3.05217609861379
"61001";"14118";"3";"50";3.07157539390742
"61001";"14150";"6";"60";2.87414166477491
"61001";"14174";"6";"45";3.10816538825797
"61001";"14174";"4";"25";3.10816538825797
"61001";"14420";"6";"25";4.00002992144827
"61001";"14437";"3";"25";3.03257620202879
"61001";"14437";"6";"45";3.03257620202879
"61001";"14437";"6";"45";3.02843639052873
"61001";"14538";"3";"35";2.94542483585784
"61001";"14675";"6";"15";4.00002992144827
"61001";"16015";"4";"45";3.08714080975496
"61001";"21231";"4";"25";3.03557477200094
"61001";"22187";"4";"35";2.95950270254334
"61001";"25031";"3";"20";2.96943184553046
"61001";"25304";"4";"55";3.06738234407392
"61001";"27043";"6";"15";3.01987429750594
"61001";"27701";"6";"15";4.00002992144827
"61001";"27701";"3";"30";2.99585133655947
"61001";"27701";"3";"30";0.96627569258964
"61001";"28134";"5";"25";2.8926553755145
"61001";"28140";"4";"30";2.06848969690804
"61001";"28140";"3";"20";2.86590778865601
"61001";"28140";"3";"20";2.86590778865601
"61001";"28147";"5";"30";2.85638929397278
"61001";"33063";"4";"20";2.63362775372432
"61001";"35014";"4";"60";2.98153154433394
"61001";"35112";"1";"45";2.55033870566591
"61001";"35161";"3";"20";2.80346178011599
"61001";"35184";"4";"30";3.03557477200094
"61001";"35238";"5";"35";3.03257620202879
"61001";"35238";"5";"20";2.31271679188784
"61001";"35238";"4";"25";2.95257662155114
"61001";"35288";"5";"25";2.74721145185593
"61001";"37123";"4";"25";2.94056115235671
"61001";"37261";"5";"30";3.10816538825797
"61001";"41018";"4";"35";2.70132342206569
"61001";"41053";"3";"35";0.96627569258964
"61001";"44109";"6";"25";2.97784753809376
"61001";"44109";"5";"40";2.77659674050597
"61001";"44162";"5";"25";2.85145783341905
"61001";"49007";"3";"30";3.07157539390742
"61001";"49007";"4";"35";3.04044076601184
"61001";"49313";"6";"45";2.83810769513598
"61001";"50419";"6";"15";4.00002992144827
"61001";"50502";"6";"40";1.05550627171462
"61001";"50502";"6";"35";1.05550627171462
"61001";"50502";"5";"60";3.12016212077807
"61001";"51389";"5";"20";1.0298019023527
"61001";"53003";"4";"20";2.95661273427615
"61001";"53013";"6";"45";2.90684670206354
"61001";"53097";"3";"40";3.08827236006798
"61001";"53106";"4";"30";3.01987429750594
"61001";"53147";"6";"45";3.12016212077807
"61001";"53147";"6";"25";3.10443021092537
"61001";"53147";"3";"55";2.86590778865601
"61001";"53147";"3";"45";2.96943184553046
"61001";"53185";"6";"15";2.67948399253979
"61001";"53185";"6";"20";2.67948399253979
"61001";"53185";"6";"45";2.95950270254334
"61001";"53185";"6";"30";2.67948399253979
"61001";"53201";"4";"20";2.95257662155114
"61001";"53246";"5";"55";2.7089792662193
"61001";"53246";"4";"35";3.01987429750594
"61001";"53246";"5";"45";2.94458084017754
"61001";"53246";"6";"20";2.67948399253979
"61001";"53246";"2";"55";3.01614634173132
"61001";"53246";"5";"35";2.67948399253979
"61001";"53246";"5";"25";2.67948399253979
"61001";"53246";"4";"25";3.06738234407392
"61001";"53246";"6";"25";2.67948399253979
"61001";"53246";"3";"45";2.95950270254334
"61001";"53246";"4";"20";2.7089792662193
"61001";"53271";"3";"45";2.80346178011599
"61001";"53271";"5";"40";2.95950270254334
"61001";"53271";"4";"45";1.04433563392852
"61001";"53271";"4";"40";3.08714080975496
"61001";"57413";"4";"35";4.00002992144827
"61001";"57413";"5";"45";4.00002992144827
"61001";"57413";"6";"20";4.00002992144827
"61001";"59009";"3";"20";1.0298019023527
"61001";"60402";"6";"40";4.00002992144827
"61001";"61001";"6";"30";2.80346178011599
"61001";"61001";"4";"35";2.96943184553046
"61001";"61001";"3";"55";4.00002992144827
"61001";"61001";"5";"20";4.00002992144827
"61001";"61001";"3";"60";2.86590778865601
"61001";"61001";"3";"45";2.95950270254334
"61001";"61001";"5";"45";2.71233064549362
"61001";"61001";"5";"55";3.10816538825797
"61001";"61001";"5";"50";2.95661273427615
