"CODGEO";"LIBGEO";"P12_POP";"SUPERF";"typoA";"typoB"
"01001";"L'Abergement-Clémenciat";777;16;"CLASSE 2";"F"
"01002";"L'Abergement-de-Varey";235;9;"CLASSE 3";"D"
"01004";"Ambérieu-en-Bugey";14233;25;"CLASSE 1";"B"
"01005";"Ambérieux-en-Dombes";1642;16;"CLASSE 3";"F"
"01006";"Ambléon";110;6;"CLASSE 4";"E"
"01007";"Ambronay";2437;34;"CLASSE 5";"A"
"01008";"Ambutrix";739;5;"CLASSE 3";"C"
"01009";"Andert-et-Condon";338;7;"CLASSE 2";"F"
"01010";"Anglefort";1069;29;"CLASSE 4";"E"
"01011";"Apremont";385;15;"CLASSE 4";"B"
"01012";"Aranc";311;22;"CLASSE 3";"F"
"01013";"Arandas";160;14;"CLASSE 1";"A"
"01014";"Arbent";3440;23;"CLASSE 4";"B"
"01015";"Arbignieu";489;13;"CLASSE 3";"C"
"01016";"Arbigny";414;17;"CLASSE 2";"D"
"01017";"Argis";424;8;"CLASSE 5";"C"
"01019";"Armix";20;7;"CLASSE 4";"A"
"01021";"Ars-sur-Formans";1380;6;"CLASSE 3";"E"
"01022";"Artemare";1175;4;"CLASSE 5";"D"
"01023";"Asnières-sur-Saône";72;5;"CLASSE 3";"A"
"01024";"Attignat";3110;19;"CLASSE 1";"F"
"01025";"Bâgé-la-Ville";3130;40;"CLASSE 1";"F"
"01026";"Bâgé-le-Châtel";829;1;"CLASSE 3";"F"
"01027";"Balan";2785;18;"CLASSE 2";"C"
"01028";"Baneins";560;9;"CLASSE 3";"D"
"01029";"Beaupont";675;14;"CLASSE 3";"F"
"01030";"Beauregard";866;1;"CLASSE 5";"B"
"01031";"Bellignat";3642;8;"CLASSE 4";"B"
"01032";"Béligneux";3172;13;"CLASSE 2";"B"
"01033";"Bellegarde-sur-Valserine";11590;15;"CLASSE 2";"B"
"01034";"Belley";8870;22;"CLASSE 3";"E"
"01035";"Belleydoux";332;18;"CLASSE 1";"F"
"01036";"Belmont-Luthézieu";526;20;"CLASSE 5";"A"
"01037";"Bénonces";277;15;"CLASSE 1";"E"
"01038";"Bény";718;18;"CLASSE 4";"A"
"01039";"Béon";429;10;"CLASSE 4";"B"
"01040";"Béréziat";463;11;"CLASSE 1";"A"
"01041";"Bettant";739;3;"CLASSE 3";"F"
"01042";"Bey";260;3;"CLASSE 2";"C"
"01043";"Beynost";4528;11;"CLASSE 3";"B"
